Chamado,InicioData,InicioHora,NormalizacaoData,NormalizacaooHora,Interrupcao,Funcionalidade,Item de Configuracao,Causa da Falha,Area,Node
55602,26/9/2014, 09:38,26/9/2014, 10:40,1:01:55,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,MCA,18
55626,26/9/2014, 16:53,26/9/2014, 19:10,2:16:47,Rede Externa,PASSIVOS,OXIDADO,MCA,20
55680,28/9/2014, 09:15,28/9/2014, 10:00,0:44:40,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,MCA,40
55681,28/9/2014, 09:16,28/9/2014, 10:00,0:43:58,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,MCA,40
55703,29/9/2014, 09:22,29/9/2014, 10:35,1:12:22,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,MCA,18
55748,29/9/2014, 18:51,29/9/2014, 20:10,1:18:39,Rede Externa,BTD,MÓDULO RF DESALINHADO CANAL RETORNO,MCA,5
55756,30/9/2014, 08:47,30/9/2014, 09:45,0:57:21,Node,GERAL,RESET/AJUSTE RPR,MCA,42
55798,30/9/2014, 18:16,30/9/2014, 19:00,0:43:09,Node,GERAL,FALTA DE ENERGIA COMERCIAL,MCA,1
55799,30/9/2014, 18:17,30/9/2014, 23:00,4:42:23,Node,GERAL,ACESSO BLOQUEADO PELO CLIENTE,MCA,2
55800,30/9/2014, 18:18,30/9/2014, 21:00,2:41:53,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,MCA,3
55801,30/9/2014, 18:18,30/9/2014, 23:00,4:41:14,Node,GERAL,FALTA DE ENERGIA COMERCIAL,MCA,4
54659,1/9/2014 ,10:40,1/9/2014, 13:10,,Rede Externa,GERAL,IMPROCEDENTE,PCS,12
55414,20/9/2014, 14:00,20/9/2014, 16:20,2:19:18,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,PCS,4
55415,20/9/2014, 14:01,20/9/2014, 16:20,2:18:58,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,PCS,04-A
55416,20/9/2014, 14:01,20/9/2014, 16:20,2:18:34,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,PCS,4
55417,20/9/2014, 14:01,20/9/2014, 16:20,2:18:16,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,PCS,4
54784,3/9/2014 ,10:38,3/9/2014, 13:00,2:21:20,Rede Externa,MB,FONTE DC QUEIMADA,SAO,21
54803,3/9/2014, 14:36,3/9/2014, 22:20,7:43:31,Node,PASSIVOS,GERANDO RUÍDO,SAO,18-A
54818,3/9/2014, 18:13,3/9/2014, 21:20,3:06:56,Node,PASSIVOS,GERANDO RUÍDO,SAO,28
54898,5/9/2014, 17:20,5/9/2014, 20:20,2:59:46,Rede Externa,PASSIVOS,OXIDADO,SAO,9
54939,8/9/2014, 15:36,8/9/2014, 17:20,1:43:42,Rede Externa,MB,FONTE DC QUEIMADA,SAO,1
55032,10/9/2014, 17:45,10/9/2014, 20:45,,Rede Externa,GERAL,VERIFICAÇÃO DE REDE,SAO,16-A
55056,11/9/2014, 11:55,11/9/2014, 13:26,1:30:08,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,SAO,43
55086,12/9/2014, 09:57,12/9/2014,11:40,1:42:58,Node,TAP,GERANDO RUÍDO,SAO,33-A
55102,12/9/2014, 15:12,12/9/2014, 15:40,0:27:37,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,SAO,7
55341,19/9/2014, 08:51,19/9/2014, 10:12,1:20:53,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,SAO,37
55342,19/9/2014, 08:52,19/9/2014, 10:12,1:19:26,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,SAO,37
55508,23/9/2014, 15:21,23/9/2014, 17:20,1:58:59,Node,PASSIVOS,GERANDO RUÍDO,SAO,12
55631,26/9/2014, 17:46,26/9/2014, 20:00,2:13:14,Rede Externa,BLE,MÓDULO RF DESALINHADO CANAL DIRETO,SAO,34
55669,27/9/2014, 10:23,27/9/2014, 22:50,12:26:57,Rede Externa,SG2000,MÓDULO RF QUEIMADO,SAO,12
55675,27/9/2014, 16:16,28/9/2014, 10:45,1:45:00,Rede Externa,PASSIVOS,QUEIMADO,SAO,16-A
55682,28/9/2014, 09:18,28/9/2014, 16:30,7:11:49,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,SAO,17
55683,28/9/2014, 09:18,28/9/2014, 16:30,7:11:10,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,SAO,17-A
55684,28/9/2014, 09:19,28/9/2014, 16:30,7:10:31,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,SAO,17
55685,28/9/2014, 09:19,28/9/2014, 16:30,7:10:04,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,SAO,17
55687,28/9/2014, 09:24,28/9/2014, 17:00,7:35:53,Node,PASSIVOS,GERANDO RUÍDO,SAO,15
55708,29/9/2014, 10:18,29/9/2014, 12:00,1:41:13,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,SAO,8
55717,29/9/2014, 12:42,30/9/2014, 10:00,,Rede Externa,GERAL,VERIFICAÇÃO DE REDE,SAO,4
55776,30/9/2014, 15:40,30/9/2014, 16:55,1:14:59,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,SAO,23
55777,30/9/2014, 15:40,30/9/2014, 16:55,1:14:09,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,SAO,23-A
54678,1/9/2014,14:32,2/9/2014, 14:40,22:40:00,Rede Externa,SG2000,MÓDULO RF QUEIMADO,SLA,5
54680,1/9/2014, 14:49,1/9/2014, 17:10,2:20:26,Node,GERAL,NORMALIZOU SEM INTERVENÇÃO,SLA,5
54691,1/9/2014, 16:28,2/9/2014, 23:00,30:31:26,Rede Externa,SG2000,TAMPA DO MODULO DANIFICADA,SLA,2
54695,1/9/2014, 17:05,1/9/2014, 17:25,0:19:16,Node,GERAL,NORMALIZOU SEM INTERVENÇÃO,SLA,6
54697,1/9/2014, 18:40,2/9/2014, 14:01,19:20:54,Node,SG2000,TAMPA DO MODULO DANIFICADA,SLA,5
54707,2/9/2014, 10:07,2/9/2014, 14:50,4:42:41,Rede Externa,SG2000,MÓDULO RF QUEIMADO,SLA,5
54709,2/9/2014, 10:34,2/9/2014, 15:50,5:15:43,Rede Externa,GERAL,VERIFICAÇÃO DE REDE,SLA,8
54715,2/9/2014, 11:55,2/9/2014, 15:50,,Rede Externa,GERAL,IMPROCEDENTE,SLA,4
54739,2/9/2014, 18:15,3/9/2014, 08:00,13:44:05,Node,SG2000,TAMPA DO MODULO DANIFICADA,SLA,2
54744,2/9/2014, 18:38,3/9/2014, 14:00,19:21:35,Rede Externa,CMTS,MAU CONTATO EM CONECTOR,SLA,7
54780,3/9/2014, 07:51,3/9/2014, 09:50,1:58:11,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,SLA,3
54779,3/9/2014, 07:50,3/9/2014, 09:50,1:59:41,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,SLA,12
54778,3/9/2014, 07:48,3/9/2014, 10:30,2:41:10,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,SLA,8
54777,3/9/2014, 07:48,3/9/2014, 09:50,2:01:48,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,SLA,11
54809,3/9/2014, 15:16,3/9/2014, 17:55,,Rede Externa,GERAL,IMPROCEDENTE,SLA,2
54816,3/9/2014, 17:23,3/9/2014, 19:20,1:56:20,Rede Externa,CMTS,MAU CONTATO EM CONECTOR,SLA,8
54817,3/9/2014, 17:43,3/9/2014, 17:55,0:11:19,Rede Externa,GERAL,NORMALIZOU SEM INTERVENÇÃO,SLA,11
54835,4/9/2014, 09:32,4/9/2014, 12:15,,Rede Externa,GERAL,IMPROCEDENTE,SLA,4
54853,4/9/2014, 13:08,4/9/2014, 14:30,,Rede Externa,GERAL,IMPROCEDENTE,SLA,1
54886,5/9/2014, 11:41,5/9/2014, 20:30,8:48:18,Rede Externa,BTD,MÓDULO RF QUEIMADO,SLA,5
54896,5/9/2014, 16:30,5/9/2014, 19:40,3:09:32,Rede Externa,SG2000,MÓDULO RF DESALINHADO CANAL RETORNO,SLA,4
54897,5/9/2014, 16:36,5/9/2014, 20:00,3:23:51,Rede Externa,SG4000,MÓDULO RF DESALINHADO CANAL RETORNO,SLA,4
54904,5/9/2014, 20:33,5/9/2014, 21:50,1:16:08,Rede Externa,MB,MÓDULO RF DESALINHADO CANAL DIRETO,SLA,12
54927,8/9/2014, 10:13,8/9/2014, 13:00,2:46:25,Node,SSP,GERANDO RUÍDO,SLA,7
54940,8/9/2014, 15:38,8/9/2014, 18:30,2:51:12,Rede Externa,BTD,MÓDULO RF QUEIMADO,SLA,5
54971,9/9/2014, 10:38,9/9/2014, 13:15,2:36:01,Rede Externa,SSP,OXIDADO,SLA,12
54974,9/9/2014, 12:13,9/9/2014, 15:15,,Rede Externa,GERAL,IMPROCEDENTE,SLA,4
54987,9/9/2014, 16:57,9/9/2014, 19:55,2:57:24,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,SLA,6
54988,9/9/2014, 16:58,9/9/2014, 20:20,3:21:52,Node,GERAL,REDE INTERNA,SLA,5
54989,9/9/2014, 16:58,9/9/2014, 19:30,2:31:30,Node,GERAL,REDE INTERNA,SLA,4
54993,9/9/2014, 17:45,9/9/2014, 21:30,3:44:22,Node,GERAL,RUÍDO INTERMITENTE,SLA,9
55026,10/9/2014, 16:44,11/9/2014, 10:55,,Rede Externa,GERAL,IMPROCEDENTE,SLA,2
55057,11/9/2014, 12:09,11/9/2014, 13:08,,Rede Externa,GERAL,CANCELADA,SLA,1
55059,11/9/2014, 13:04,11/9/2014, 14:00,0:55:03,Rede Externa,MB,MÓDULO RF DESALINHADO CANAL RETORNO,SLA,1
55077,11/9/2014, 18:22,11/9/2014, 19:50,1:27:18,Rede Externa,PASSIVOS,PRISIONEIRO MAU CONECTADO,SLA,5
55084,12/9/2014, 09:45,12/9/2014, 10:05,,Rede Externa,GERAL,IMPROCEDENTE,SLA,2
55157,13/9/2014, 15:28,13/9/2014, 15:35,0:06:18,Node,GERAL,FALTA DE ENERGIA COMERCIAL,SLA,1
55198,15/9/2014, 17:35,15/9/2014, 19:00,1:24:15,Rede Externa,MB,MÓDULO RF DESALINHADO CANAL DIRETO,SLA,2
55210,16/9/2014, 09:32,16/9/2014, 12:15,2:42:20,Rede Externa,MB,MÓDULO RF DESALINHADO CANAL RETORNO,SLA,5
55214,16/9/2014, 13:11,16/9/2014, 14:20,,Rede Externa,GERAL,IMPROCEDENTE,SLA,10
55251,17/9/2014, 13:16,17/9/2014, 16:00,2:43:18,Rede Externa,SG2000,MÓDULO RF DESALINHADO CANAL DIRETO,SLA,5
55269,17/9/2014, 17:47,17/9/2014, 19:30,1:42:28,Rede Externa,MB,MÓDULO RF DESALINHADO CANAL DIRETO,SLA,5
55282,18/9/2014, 09:03,18/9/2014, 11:25,2:21:05,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,SLA,4
55284,18/9/2014, 09:39,18/9/2014, 12:20,,Rede Externa,GERAL,IMPROCEDENTE,SLA,2
55307,18/9/2014, 12:52,18/9/2014, 14:00,1:07:29,Rede Externa,MB,MÓDULO RF DESALINHADO CANAL DIRETO/RETORNO,SLA,5
55329,18/9/2014, 18:15,18/9/2014, 19:50,1:34:09,Rede Externa,SG2000,MÓDULO RF DESALINHADO CANAL DIRETO,SLA,14
55346,19/9/2014, 09:54,19/9/2014, 12:30,2:35:23,Rede Externa,CMTS,MAU CONTATO EM CONECTOR,SLA,8
55371,19/9/2014, 15:47,19/9/2014, 19:00,3:12:03,Rede Externa,CMTS,MAU CONTATO EM CONECTOR,SLA,3
55370,19/9/2014, 15:45,19/9/2014, 19:51,4:05:42,Rede Externa,BTD,MÓDULO RF DESALINHADO CANAL DIRETO/RETORNO,SLA,3
55372,19/9/2014, 15:56,19/9/2014, 20:20,4:23:22,Rede Externa,BTD,MÓDULO RF DESALINHADO CANAL DIRETO/RETORNO,SLA,3
55388,19/9/2014, 17:38,19/9/2014, 20:00,2:21:55,Node,CMTS,MAU CONTATO EM CONECTOR,SLA,3
55403,20/9/2014, 10:32,22/9/2014, 18:39,,Rede Externa,GERAL,IMPROCEDENTE,SLA,7
55404,20/9/2014, 10:37,20/9/2014, 14:30,,Rede Externa,GERAL,IMPROCEDENTE,SLA,3
55514,23/9/2014, 16:25,23/9/2014, 17:19,,Rede Externa,GERAL,IMPROCEDENTE,SLA,12
